=== Full run: heuristic=BAF N_max=100000 ===
  k=30200/100000 free=28884 t=1559.4s
  k=30400/100000 free=29071 t=1603.6s
  k=30600/100000 free=29265 t=1642.1s
  k=30800/100000 free=29455 t=1693.0s
  k=31000/100000 free=29645 t=1744.9s
  k=31200/100000 free=29832 t=1783.6s
  k=31400/100000 free=30023 t=1822.1s
  k=31600/100000 free=30213 t=1855.8s
  k=31800/100000 free=30398 t=1888.3s
  k=32000/100000 free=30592 t=1908.7s
  k=32200/100000 free=30784 t=1936.6s
  k=32400/100000 free=30974 t=1980.1s
  k=32600/100000 free=31165 t=2018.9s
  k=32800/100000 free=31359 t=2052.7s
  k=33000/100000 free=31550 t=2079.1s
  k=33200/100000 free=31744 t=2108.8s
  k=33400/100000 free=31938 t=2155.2s
  k=33600/100000 free=32129 t=2195.2s
  k=33800/100000 free=32326 t=2211.0s
  k=34000/100000 free=32521 t=2225.4s
  k=34200/100000 free=32717 t=2254.1s
  k=34400/100000 free=32912 t=2278.8s
  k=34600/100000 free=33104 t=2312.3s
  k=34800/100000 free=33296 t=2332.3s
  k=35000/100000 free=33490 t=2372.9s
  k=35200/100000 free=33683 t=2415.6s
  k=35400/100000 free=33877 t=2467.0s
  k=35600/100000 free=34071 t=2504.1s
  k=35800/100000 free=34267 t=2542.8s
  k=36000/100000 free=34461 t=2574.5s
  k=36200/100000 free=34656 t=2604.1s
  k=36400/100000 free=34849 t=2660.0s
  k=36600/100000 free=35040 t=2697.3s
  k=36800/100000 free=35235 t=2734.8s
  k=37000/100000 free=35430 t=2783.7s
  k=37200/100000 free=35625 t=2855.2s
  k=37400/100000 free=35819 t=2895.8s
  k=37600/100000 free=36013 t=2938.0s
  k=37800/100000 free=36204 t=2976.6s
  k=38000/100000 free=36394 t=2996.7s
  k=38200/100000 free=36588 t=3036.5s
