=== Full run: heuristic=BAF N_max=50000 ===
  k=200/50000 free=179 t=0.0s
  k=400/50000 free=364 t=0.2s
  k=600/50000 free=551 t=0.4s
  k=800/50000 free=751 t=0.8s
  k=1000/50000 free=934 t=1.2s
  k=1200/50000 free=1122 t=1.7s
  k=1400/50000 free=1317 t=2.4s
  k=1600/50000 free=1514 t=3.2s
  k=1800/50000 free=1705 t=4.2s
  k=2000/50000 free=1897 t=4.8s
  k=2200/50000 free=2090 t=5.9s
  k=2400/50000 free=2279 t=7.4s
  k=2600/50000 free=2467 t=8.0s
  k=2800/50000 free=2665 t=9.1s
  k=3000/50000 free=2859 t=10.2s
  k=3200/50000 free=3045 t=11.1s
  k=3400/50000 free=3228 t=12.2s
  k=3600/50000 free=3411 t=13.3s
  k=3800/50000 free=3598 t=20.8s
  k=4000/50000 free=3787 t=22.6s
  k=4200/50000 free=3966 t=23.8s
  k=4400/50000 free=4152 t=25.5s
  k=4600/50000 free=4344 t=26.9s
  k=4800/50000 free=4532 t=28.9s
  k=5000/50000 free=4725 t=30.7s
  k=5200/50000 free=4915 t=34.2s
  k=5400/50000 free=5108 t=36.5s
  k=5600/50000 free=5303 t=48.3s
  k=5800/50000 free=5501 t=53.5s
  k=6000/50000 free=5694 t=56.2s
  k=6200/50000 free=5885 t=60.4s
  k=6400/50000 free=6077 t=63.9s
  k=6600/50000 free=6265 t=67.8s
  k=6800/50000 free=6451 t=72.1s
  k=7000/50000 free=6640 t=75.5s
  k=7200/50000 free=6836 t=80.7s
  k=7400/50000 free=7022 t=85.9s
  k=7600/50000 free=7212 t=88.5s
  k=7800/50000 free=7406 t=92.3s
  k=8000/50000 free=7596 t=95.5s
  k=8200/50000 free=7786 t=98.7s
  k=8400/50000 free=7976 t=102.3s
  k=8600/50000 free=8167 t=105.6s
  k=8800/50000 free=8358 t=111.2s
  k=9000/50000 free=8549 t=116.5s
  k=9200/50000 free=8741 t=121.5s
  k=9400/50000 free=8935 t=126.9s
  k=9600/50000 free=9127 t=131.8s
  k=9800/50000 free=9317 t=136.7s
  k=10000/50000 free=9511 t=143.2s
  k=10200/50000 free=9703 t=147.9s
  k=10400/50000 free=9895 t=154.1s
  k=10600/50000 free=10087 t=160.4s
  k=10800/50000 free=10278 t=165.0s
  k=11000/50000 free=10462 t=171.0s
  k=11200/50000 free=10652 t=179.6s
  k=11400/50000 free=10842 t=187.8s
  k=11600/50000 free=11034 t=197.4s
  k=11800/50000 free=11226 t=206.2s
  k=12000/50000 free=11416 t=215.1s
  k=12200/50000 free=11607 t=228.7s
  k=12400/50000 free=11800 t=239.5s
  k=12600/50000 free=11997 t=253.2s
  k=12800/50000 free=12189 t=261.9s
  k=13000/50000 free=12379 t=269.7s
  k=13200/50000 free=12572 t=279.1s
  k=13400/50000 free=12762 t=285.7s
  k=13600/50000 free=12955 t=297.4s
  k=13800/50000 free=13144 t=310.3s
  k=14000/50000 free=13336 t=318.0s
  k=14200/50000 free=13529 t=330.2s
  k=14400/50000 free=13720 t=343.0s
  k=14600/50000 free=13914 t=357.6s
  k=14800/50000 free=14104 t=371.6s
  k=15000/50000 free=14294 t=384.1s
