=== Full run: heuristic=CONTACT N_max=10000 ===
  k=200/10000 free=182 t=0.2s
  k=400/10000 free=375 t=1.6s
  k=600/10000 free=561 t=4.9s
  k=800/10000 free=745 t=10.5s
  k=1000/10000 free=933 t=19.9s
  k=1200/10000 free=1122 t=33.9s
  k=1400/10000 free=1313 t=54.1s
  k=1600/10000 free=1507 t=81.2s
  k=1800/10000 free=1699 t=115.8s
  k=2000/10000 free=1892 t=151.8s
  k=2200/10000 free=2086 t=198.1s
