=== Full run: heuristic=CONTACT N_max=10000 ===
  k=200/10000 free=182 t=0.3s
  k=400/10000 free=375 t=1.8s
  k=600/10000 free=561 t=4.7s
  k=800/10000 free=745 t=9.6s
  k=1000/10000 free=933 t=18.1s
  k=1200/10000 free=1122 t=30.9s
  k=1400/10000 free=1313 t=50.6s
  k=1600/10000 free=1507 t=73.8s
  k=1800/10000 free=1699 t=105.8s
  k=2000/10000 free=1892 t=141.9s
  k=2200/10000 free=2086 t=187.2s
  k=2400/10000 free=2280 t=243.0s
  k=2600/10000 free=2476 t=306.8s
  k=2800/10000 free=2673 t=387.4s
