=== Full run: heuristic=BAF N_max=5000 ===
  k=200/5000 free=179 t=0.2s
  k=400/5000 free=364 t=1.6s
  k=600/5000 free=551 t=4.4s
  k=800/5000 free=751 t=10.1s
  k=1000/5000 free=934 t=19.4s
  k=1200/5000 free=1122 t=33.8s
  k=1400/5000 free=1317 t=54.0s
  k=1600/5000 free=1514 t=83.0s
  k=1800/5000 free=1705 t=121.3s
  k=2000/5000 free=1897 t=167.0s
  k=2200/5000 free=2090 t=221.3s
  k=2400/5000 free=2279 t=284.5s
  k=2600/5000 free=2467 t=356.8s
  k=2800/5000 free=2665 t=443.4s
