=== Full run: heuristic=BL N_max=5000 ===
  k=200/5000 free=185 t=0.4s
  k=400/5000 free=377 t=2.1s
  k=600/5000 free=568 t=7.2s
  k=800/5000 free=758 t=13.2s
  k=1000/5000 free=953 t=22.0s
  k=1200/5000 free=1148 t=36.3s
  k=1400/5000 free=1340 t=52.6s
  k=1600/5000 free=1535 t=73.4s
  k=1800/5000 free=1730 t=102.7s
  k=2000/5000 free=1924 t=139.6s
  k=2200/5000 free=2115 t=183.5s
  k=2400/5000 free=2310 t=238.2s
  k=2600/5000 free=2504 t=300.3s
  k=2800/5000 free=2697 t=374.2s
